expocode,platform_name,platform_type,organization,investigators,country
316420100124,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100203,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420100223,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420100315,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420100422,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420100519,Mooring,Mooring,NOAA PMEL : Univ Delaware,"Sutton, A. : Sabine, C. : Cai, W.-J. : Noakes, S. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100603,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100616,Papa_145W_50N,Mooring,NOAA PMEL,"Sutton, A. : Emerson, S.",USA
316420100622,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100624,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100716,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Newton, J. : Mickett, J. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100722,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420100801,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420100827,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100902,Mooring,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Sabine, C. : Send, U. : Ohman, M. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420100903,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100908,NH_70W_43N,Mooring,NOAA PMEL : Univ New Hampshire,"Sutton, A. : Vandemark, D.",USA
316420100916,Mooring,Mooring,NOAA PMEL : Univ Delaware,"Sutton, A. : Sabine, C. : Cai, W.-J. : Noakes, S. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420100930,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420101018,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420101126,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420101127,Mooring,Mooring,NOAA PMEL : Bermuda Inst Ocean Sci,"Sutton, A. : Sabine, C. : Andersson, A. : Bates, N.R. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420101205,HogReef_64W_32N,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Andersson, A.",USA
316420101207,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420101208,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420110116,Mooring,Mooring,NOAA PMEL : Univ Puerto Rico,"Sutton, A. : Sabine, C. : Morell, J. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420110126,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420110205,TAO170W_0N,Mooring,NOAA PMEL,"Sutton, A.",USA
316420110301,TAO165E_0N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420110306,CCE2_121W_34N,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Sabine, C. : Send, U. : Ohman, M. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420110307,CCE1_122W_33N,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Send, U.",USA
316420110319,Mooring,Mooring,NOAA PMEL : Univ Southern Mississippi,"Sutton, A. : Sabine, C. : Howden, S. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420110406,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420110502,TAO125W_0N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420110519,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420110524,LaPush_125W_48N,Mooring,NOAA PMEL,"Sutton, A.",USA
316420110610,Dabob_122W_48N,Mooring,NOAA PMEL,"Sutton, A. : Newton, J. : Mickett, J.",USA
316420110612,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420110706,Mooring,Mooring,NOAA PMEL : Univ New Hampshire,"Sutton, A. : Sabine, C. : Salisbury, J. : Vandemark, D. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420110802,TAO110W_0N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420110809,Twanoh_123W_47N,Mooring,NOAA PMEL,"Sutton, A. : Newton, J. : Mickett, J.",USA
316420110817,Mooring,Mooring,NOAA PMEL : Univ Southern Mississippi,"Sutton, A. : Sabine, C. : Howden, S. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420110903,TAO140W_0N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420110915,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420110926,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420110930,Kaneohe_158W_21N,Mooring,NOAA PMEL : Univ Hawaii,"Sutton, A. : DeCarlo, E. : Tomlinson, M.",USA
316420111021,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420111114,KEO_145E_32N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420111118,ChuukK1_152E_7N,Mooring,NOAA PMEL : KIOST,"Sutton, A. : Sabine, C. : Noh, J.-H. : Lee, C. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420111124,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Trull, T. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420111203,LaParguera_67W_18N,Mooring,NOAA PMEL : Univ Puerto Rico,"Sutton, A. : Morell, J.",USA
316420111208,Cheeca_80W_25N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Manzello, D. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120103,Crimp2_158W_21N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120210,TAO110W_0N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420120229,Mooring,Mooring,NOAA PMEL : Bermuda Inst Ocean Sci,"Sutton, A. : Sabine, C. : Andersson, A. : Bates, N.R. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120229-2,Mooring,Mooring,NOAA PMEL : Bermuda Inst Ocean Sci,"Sutton, A. : Sabine, C. : Andersson, A. : Bates, N.R. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120316,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120324,CCE2_121W_34N,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Sabine, C. : Send, U. : Ohman, M. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120402,TAO125W_0N,Mooring,NOAA PMEL,"Sutton, A.",USA
316420120412,TAO140W_0N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420120418,Alawai_158W_21N,Mooring,NOAA PMEL : Univ Hawaii,"Sutton, A. : DeCarlo, E. : Tomlinson, M.",USA
316420120526,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Newton, J. : Mickett, J. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120528,STRATUS_85W_20S,Mooring,NOAA PMEL,"Sutton, A. : Weller, B. : Pluddemann, A.",USA
316420120603,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420120614,WHOTS_158W_23N,Mooring,NOAA PMEL,"Sutton, A. : Weller, B. : Pluddemann, A.",USA
316420120704,KEO_145E_32N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420120712,Dabob_122W_48N,Mooring,NOAA PMEL,"Sutton, A. : Newton, J. : Mickett, J.",USA
316420120714,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Trull, T. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420120809,Cape Elizabeth,Mooring,NOAA PMEL,"Sutton, A.",USA
316420120822,Mooring,Mooring,NOAA PMEL : Univ New Hampshire,"Sutton, A. : Sabine, C. : Salisbury, J. : Vandemark, D. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420120919,Mooring,Mooring,NOAA PMEL : Univ Delaware,"Sutton, A. : Sabine, C. : Cai, W.-J. : Noakes, S. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420121102,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420121130,Kaneohe_158W_21N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420121210,Cheeca_80W_25N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Manzello, D. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420121219,LaParguera_67W_18N,Mooring,NOAA PMEL : Univ Puerto Rico,"Sutton, A. : Corredor, J. : Morell, J.",USA
316420130125,Mooring,Mooring,NOAA PMEL : Univ Delaware,"Sutton, A. : Sabine, C. : Cai, W.-J. : Noakes, S. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420130307,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420130309,Kaneohe_158W_21N,Mooring,NOAA PMEL,"Sutton, A. : De Carlo, E. : Tomlinson, M.",USA
316420130329,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420130329-2,TAO110W_0N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420130330,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420130411,Mooring,Mooring,NOAA PMEL : Bermuda Inst Ocean Sci,"Sutton, A. : Sabine, C. : Andersson, A. : Bates, N.R. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420130412,CCE2_121W_34N,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Send, U. : Ohman, M.",USA
316420130417,Mooring,Mooring,NOAA PMEL : Bermuda Inst Ocean Sci,"Sutton, A. : Sabine, C. : Andersson, A. : Bates, N.R. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420130419,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420130423,ChuukK1_152E_7N,Mooring,NOAA PMEL : KIOST,"Sutton, A. : Sabine, C. : Noh, J.-H. : Lee, C. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420130424,LaPush_125W_48N,Mooring,NOAA PMEL,"Sutton, A.",USA
316420130501,SOFS_142E_46S,Mooring,NOAA PMEL,"Sutton, A. : Trull, T.",USA
316420130506,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420130508,Exploratorium,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420130606,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420130617,Papa_145W_50N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C.",USA
316420130705,KEO_145E_32N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420130711,Mooring,Mooring,NOAA PMEL : Univ Southern Mississippi,"Sutton, A. : Sabine, C. : Howden, S. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420130711-2,WHOTS_158W_23N,Mooring,NOAA PMEL,"Sutton, A. : Weller, B. : Pluddemann, A.",USA
316420130726,Twanoh_123W_47N,Mooring,NOAA PMEL,"Sutton, A. : Newton, J. : Mickett, J.",USA
316420130816,Iceland_12W_68N,Mooring,NOAA PMEL : MFRI Iceland,"Sutton, A. : Sabine, C. : Olafsdottir, S.R. : Olafsson, J. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420130819,TAO165E_8S,Mooring,NOAA PMEL,"Sutton, A.",USA
316420130919,WA_125W_47N,Mooring,NOAA PMEL,"Sutton, A.",USA
316420130926,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420130926-2,Exploratorium,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420130930,CCE1_122W_33N,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Send, U.",USA
316420131004,LaPush_125W_48N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Newton, J. : Mickett, J. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420131005,TAO155W_0N,Mooring,NOAA PMEL,"Sutton, A.",USA
316420131025,KiloNalu_158W_21N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420131028,GraysReef_81W_31N,Mooring,NOAA PMEL : Univ Delaware,"Sutton, A. : Cai, W.-J. : Noakes, S.",USA
316420131105,Mooring,Mooring,NOAA PMEL : Univ New Hampshire,"Sutton, A. : Sabine, C. : Salisbury, J. : Vandemark, D. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420131114,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420131128,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : De Carlo, E. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420131205,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420131224,LaParguera_67W_18N,Mooring,NOAA PMEL : Univ Puerto Rico,"Sutton, A. : Corredor, J. : Morell, J.",USA
316420140205,Exploratorium,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420140210,CoastalMS_89W_30N,Mooring,NOAA PMEL : Univ Southern Mississippi,"Sutton, A. : Howden, S.",USA
316420140305,GAKOA_149W_60N,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420140306,Mooring,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Dietrich, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420140307,Cheeca_80W_25N,Mooring,NOAA PMEL,"Sutton, A. : Manzello, D.",USA
316420140403,NH10_124W_44N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Hales, B. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420140411,Twanoh_123W_47N,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Newton, J. : Mickett, J. : Musielewicz, S. : Maenner, S. : Dietrich, C. : Bott, R. : Osborne, J.",USA
316420140502,CCE2_121W_34N,Mooring,NOAA PMEL : Scripps Inst Ocean,"Sutton, A. : Send, U.",USA
316420140503,Exploratorium,Mooring,NOAA PMEL,"Sutton, A. : Sabine, C. : Maenner, S. : Musielewicz, S. : Bott, R. : Osborne, J.",USA
316420140506,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420140509,Mooring,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420140513,Kodiak_152W_21N,Mooring,NOAA PMEL : Univ Alaska,"Cross, J. : Mathis, J. : Monacci, N. : Musielewicz, S. : Maenner, S. : Osborne, J.",USA
316420140524,Kaneohe_158W_21N,Mooring,NOAA PMEL : Univ Hawaii,"Sutton, A. : DeCarlo, E. : Tomlinson, M.",USA
